iter	Passed	Remaining
642	2208	2943
643	2211	2939
644	2214	2935
645	2218	2932
646	2221	2928
647	2224	2925
648	2227	2921
649	2231	2917
650	2234	2913
651	2237	2909
652	2240	2906
653	2243	2902
654	2247	2899
655	2250	2895
656	2254	2892
657	2256	2888
658	2259	2884
659	2263	2880
660	2266	2876
661	2269	2873
662	2273	2869
663	2276	2865
664	2279	2861
665	2282	2858
666	2285	2854
667	2288	2850
668	2291	2846
669	2295	2843
670	2298	2839
671	2301	2835
672	2304	2832
673	2308	2828
674	2310	2824
675	2314	2820
676	2317	2816
677	2320	2813
678	2323	2809
679	2326	2805
680	2329	2802
681	2333	2798
682	2336	2794
683	2339	2791
684	2342	2787
685	2346	2784
686	2349	2780
687	2353	2777
688	2356	2773
689	2359	2769
690	2362	2766
691	2365	2762
692	2369	2758
693	2372	2755
694	2375	2751
695	2378	2747
696	2382	2744
697	2385	2740
698	2388	2737
699	2391	2733
700	2394	2729
701	2397	2725
702	2401	2722
703	2404	2718
704	2407	2715
705	2410	2711
706	2414	2708
707	2417	2704
708	2420	2700
709	2423	2696
710	2426	2692
711	2429	2689
712	2433	2686
713	2436	2682
714	2440	2678
715	2442	2674
716	2446	2671
717	2449	2667
718	2452	2663
719	2455	2660
720	2458	2656
721	2461	2652
722	2464	2648
723	2467	2644
724	2471	2641
725	2474	2638
726	2477	2634
727	2481	2631
728	2485	2628
729	2488	2624
730	2491	2621
731	2495	2618
732	2499	2614
733	2502	2611
734	2505	2607
735	2508	2604
736	2511	2600
737	2515	2596
738	2518	2593
739	2521	2589
740	2524	2585
741	2527	2582
742	2530	2578
743	2533	2574
744	2537	2571
745	2540	2567
746	2543	2563
747	2545	2559
748	2548	2555
749	2552	2552
750	2555	2548
751	2558	2545
752	2561	2541
753	2564	2537
754	2567	2533
755	2571	2530
756	2574	2526
757	2577	2523
758	2581	2519
759	2584	2516
760	2588	2513
761	2591	2509
762	2595	2506
763	2598	2503
764	2601	2499
765	2604	2496
766	2607	2492
767	2611	2488
768	2614	2485
769	2618	2482
770	2621	2478
771	2625	2475
772	2628	2471
773	2631	2468
774	2634	2464
775	2637	2460
776	2640	2457
777	2643	2453
778	2646	2449
779	2649	2445
780	2652	2442
781	2656	2439
782	2659	2435
783	2663	2432
784	2666	2429
785	2669	2425
786	2672	2421
787	2676	2418
788	2679	2414
789	2683	2411
790	2686	2407
791	2690	2404
792	2693	2401
793	2697	2398
794	2700	2395
795	2703	2391
796	2707	2387
797	2710	2384
798	2713	2380
799	2717	2377
800	2720	2373
801	2723	2370
802	2726	2366
803	2730	2363
804	2733	2359
805	2736	2356
806	2739	2352
807	2742	2348
808	2745	2345
809	2748	2341
810	2752	2338
811	2754	2334
812	2758	2331
813	2761	2327
814	2765	2324
815	2768	2320
816	2771	2317
817	2774	2313
818	2778	2309
819	2782	2307
820	2786	2304
821	2790	2301
822	2794	2298
823	2797	2294
824	2800	2291
825	2803	2287
826	2806	2283
827	2809	2280
828	2812	2276
829	2815	2272
830	2819	2269
831	2822	2265
832	2825	2262
833	2828	2259
834	2832	2255
835	2835	2251
836	2838	2248
837	2841	2244
838	2843	2240
839	2846	2236
840	2849	2232
841	2851	2228
842	2854	2224
843	2856	2220
844	2859	2216
845	2862	2212
846	2864	2208
847	2867	2204
848	2869	2200
849	2872	2196
850	2875	2192
851	2877	2188
852	2880	2185
853	2883	2181
854	2886	2177
855	2889	2173
856	2892	2169
857	2894	2166
858	2897	2162
859	2900	2158
860	2903	2155
861	2906	2151
862	2909	2147
863	2912	2143
864	2915	2139
865	2917	2136
866	2920	2132
867	2923	2128
868	2925	2124
869	2928	2120
870	2930	2116
871	2933	2112
872	2936	2109
873	2939	2105
874	2942	2101
875	2945	2098
876	2947	2094
877	2950	2090
878	2953	2086
879	2956	2082
880	2959	2079
881	2961	2075
882	2964	2071
883	2967	2067
884	2970	2064
885	2972	2060
886	2975	2056
887	2978	2052
888	2981	2049
889	2984	2045
890	2987	2041
891	2990	2038
892	2993	2035
893	2996	2031
894	2999	2027
895	3002	2024
896	3005	2020
897	3008	2016
898	3010	2012
899	3013	2009
900	3016	2005
901	3018	2001
902	3022	1998
903	3025	1994
904	3027	1990
905	3031	1987
906	3033	1983
907	3036	1979
908	3039	1975
909	3041	1971
910	3044	1968
911	3047	1964
912	3049	1960
913	3052	1957
914	3054	1953
915	3057	1949
916	3060	1945
917	3062	1941
918	3065	1937
919	3068	1934
920	3071	1930
921	3074	1927
922	3077	1923
923	3079	1919
924	3082	1916
925	3085	1912
926	3088	1908
927	3090	1904
928	3093	1901
929	3095	1897
930	3098	1893
931	3101	1890
932	3105	1887
933	3107	1883
934	3110	1879
935	3113	1875
936	3115	1872
937	3118	1868
938	3120	1864
939	3123	1860
940	3126	1857
941	3129	1853
942	3131	1849
943	3134	1846
944	3137	1842
945	3139	1838
946	3142	1835
947	3145	1831
948	3147	1827
949	3150	1823
950	3153	1820
951	3155	1816
952	3158	1812
953	3160	1809
954	3163	1805
955	3166	1801
956	3169	1798
957	3171	1794
958	3175	1791
959	3177	1787
960	3180	1783
961	3183	1780
962	3185	1776
963	3188	1772
964	3191	1769
965	3193	1765
966	3196	1761
967	3199	1758
968	3201	1754
969	3204	1750
970	3207	1747
971	3210	1743
972	3213	1740
973	3216	1736
974	3218	1733
975	3221	1729
976	3224	1726
977	3227	1722
978	3230	1719
979	3232	1715
980	3235	1711
981	3238	1708
982	3240	1704
983	3243	1700
984	3245	1697
985	3248	1693
986	3251	1689
987	3253	1686
988	3256	1682
989	3259	1679
990	3262	1675
991	3264	1671
992	3267	1668
993	3270	1664
994	3272	1661
995	3275	1657
996	3278	1654
997	3281	1650
998	3284	1647
999	3286	1643
1000	3289	1639
1001	3292	1636
1002	3295	1633
1003	3298	1629
1004	3301	1625
1005	3304	1622
1006	3307	1619
1007	3310	1615
1008	3313	1612
1009	3315	1608
1010	3318	1605
1011	3321	1601
1012	3324	1598
1013	3326	1594
1014	3329	1590
1015	3332	1587
1016	3335	1583
1017	3337	1580
1018	3341	1577
